BusinessName,PhoneNumber,cityStateZip,Type
"texas institute of hair, hair diseases and hair transplantation",12106871772,"24165 I-10 #102, San Antonio, TX 78257","Laser hair removal service, Hair transplantation clinic"
"texas institute of dermatology, laser and cosmetic surgery",12106986777,"24165 I-10 #102, San Antonio, TX 78257","Skin care clinic, Hair transplantation clinic, Laser hair removal service, Medical spa, Tattoo removal service"
scalpp clinic : scalp micropigmentation houston,17135885852,"1315 St Joseph Pkwy UNIT 301, Houston, TX 77002","Hair replacement service, Hair transplantation clinic, Medical clinic, Permanent make-up clinic"
mansfield aesthetics,16824223298,"1788 FM157 N, suite 106, Mansfield, TX 76063","Skin care clinic, Cosmetic surgeon, Facial spa, Hair transplantation clinic, Laser hair removal service, Medical spa, Weight loss service"
houston hair transplant center - dr goran jezic,17138642300,"4101 Greenbriar Dr Suite 200, Houston, TX 77098","Hair transplantation clinic, Hair replacement service"
henry the hair master,12109007627,"22211 I-10 Access Rd #1201, San Antonio, TX 78256","Barber shop, Chemical plant, Facial spa, Waxing hair removal service"
hairclub,15122538145,"8240 N Mopac Expy Suite 340, Austin, TX 78759","Beauty salon, Hair replacement service, Hair transplantation clinic"
crecer dallas hair salon + plant shop,19728639288,"428 W Davis St #2, Dallas, TX 75208","Hair salon, Plant nursery"
